date,variable,sex,sru
2017-01-01,rate,overall,29.9
2017-04-01,rate,overall,31.8
2017-07-01,rate,overall,31.4
2017-10-01,rate,overall,32.7
2018-01-01,rate,overall,32.5
2018-04-01,rate,overall,33.2
2018-07-01,rate,overall,33.4
2018-10-01,rate,overall,32.8
2019-01-01,rate,overall,32.9
2019-04-01,rate,overall,32.8
2019-07-01,rate,overall,34.3
2019-10-01,rate,overall,34.8
2020-01-01,rate,overall,36.2
2020-04-01,rate,overall,36.5
2020-07-01,rate,overall,36.8
2020-10-01,rate,overall,37.4
2021-01-01,rate,overall,37.9
2021-04-01,rate,overall,37.7
2021-07-01,rate,overall,37.7
2021-10-01,rate,overall,37.5
2022-01-01,rate,overall,36.9
2022-04-01,rate,overall,36.7
2022-07-01,rate,overall,36.8
2022-10-01,rate,overall,37.4
2023-01-01,rate,overall,37.4
2023-04-01,rate,overall,37.4
2023-07-01,rate,overall,37.3
2023-10-01,rate,overall,37.4
2024-01-01,rate,overall,36.4
2024-04-01,rate,overall,36.2
2024-07-01,rate,overall,36.0
2024-10-01,rate,overall,35.8
2025-01-01,rate,overall,35.7
2025-04-01,rate,overall,35.6
2025-07-01,rate,overall,35.5
2017-01-01,rate,male,27.8
2017-04-01,rate,male,28.4
2017-07-01,rate,male,29.3
2017-10-01,rate,male,30.9
2018-01-01,rate,male,30.5
2018-04-01,rate,male,30.2
2018-07-01,rate,male,31.9
2018-10-01,rate,male,30.3
2019-01-01,rate,male,30.1
2019-04-01,rate,male,30.2
2019-07-01,rate,male,30.3
2019-10-01,rate,male,33.0
2020-01-01,rate,male,35.0
2020-04-01,rate,male,35.5
2020-07-01,rate,male,34.0
2020-10-01,rate,male,41.2
2021-01-01,rate,male,39.3
2021-04-01,rate,male,39.0
2021-07-01,rate,male,34.8
2021-10-01,rate,male,35.5
2022-01-01,rate,male,34.7
2022-04-01,rate,male,34.4
2022-07-01,rate,male,35.4
2022-10-01,rate,male,39.3
2023-01-01,rate,male,34.7
2023-04-01,rate,male,32.8
2023-07-01,rate,male,37.2
2023-10-01,rate,male,38.3
2024-01-01,rate,male,31.3
2024-04-01,rate,male,31.8
2024-07-01,rate,male,30.9
2024-10-01,rate,male,30.3
2025-01-01,rate,male,31.4
2025-04-01,rate,male,30.8
2025-07-01,rate,male,31.1
2017-01-01,rate,female,32.0
2017-04-01,rate,female,35.3
2017-07-01,rate,female,33.6
2017-10-01,rate,female,34.6
2018-01-01,rate,female,34.6
2018-04-01,rate,female,36.3
2018-07-01,rate,female,35.0
2018-10-01,rate,female,35.4
2019-01-01,rate,female,35.7
