date,persons_000,rate_pct,yoy_000,yoy_pct
2017-01-01,1182.9,29.9,,
2017-04-01,1280.6,31.8,,
2017-07-01,1311.6,31.4,,
2017-10-01,1332.8,32.7,,
2018-01-01,1306.9,32.5,124.0,10.48
2018-04-01,1408.1,33.2,127.5,9.96
2018-07-01,1446.3,33.4,134.7,10.27
2018-10-01,1404.0,32.8,71.2,5.34
2019-01-01,1460.8,32.9,153.9,11.78
2019-04-01,1417.2,32.8,9.1,0.65
2019-07-01,1554.5,34.3,108.2,7.48
2019-10-01,1540.9,34.8,136.9,9.75
2020-01-01,1637.3,36.2,176.5,12.08
2020-04-01,1674.1,36.5,256.9,18.13
2020-07-01,1762.7,36.8,208.2,13.39
2020-10-01,1886.8,37.4,345.9,22.45
2021-01-01,1899.9,37.9,262.6,16.04
2021-04-01,1852.5,37.7,178.4,10.66
2021-07-01,1873.8,37.7,111.1,6.3
2021-10-01,1838.3,37.5,-48.5,-2.57
2022-01-01,1810.1,36.9,-89.8,-4.73
2022-04-01,1799.6,36.7,-52.9,-2.86
2022-07-01,1839.6,36.8,-34.2,-1.83
2022-10-01,1891.4,37.4,53.1,2.89
2023-01-01,1907.2,37.4,97.1,5.36
2023-04-01,1914.6,37.4,115.0,6.39
2023-07-01,1922.7,37.3,83.1,4.52
2023-10-01,1937.1,37.4,45.7,2.42
2024-01-01,1920.8,36.4,13.6,0.71
2024-04-01,1923.1,36.2,8.5,0.44
2024-07-01,1942.4,36.0,19.7,1.02
2024-10-01,1946.3,35.8,9.2,0.47
2025-01-01,1953.7,35.7,32.9,1.71
2025-04-01,1955.6,35.6,32.5,1.69
2025-07-01,1961.5,35.5,19.1,0.98
