date,variable,age,value,year,quarter,year_q,dimension,sex
2017-01-01,persons,overall,1182.9,2017,1,2017Q1,age,
2017-04-01,persons,overall,1280.6,2017,2,2017Q2,age,
2017-07-01,persons,overall,1311.6,2017,3,2017Q3,age,
2017-10-01,persons,overall,1332.8,2017,4,2017Q4,age,
2018-01-01,persons,overall,1306.9,2018,1,2018Q1,age,
2018-04-01,persons,overall,1408.1,2018,2,2018Q2,age,
2018-07-01,persons,overall,1446.3,2018,3,2018Q3,age,
2018-10-01,persons,overall,1404.0,2018,4,2018Q4,age,
2019-01-01,persons,overall,1460.8,2019,1,2019Q1,age,
2019-04-01,persons,overall,1417.2,2019,2,2019Q2,age,
2019-07-01,persons,overall,1554.5,2019,3,2019Q3,age,
2019-10-01,persons,overall,1540.9,2019,4,2019Q4,age,
2020-01-01,persons,overall,1637.3,2020,1,2020Q1,age,
2020-04-01,persons,overall,1674.1,2020,2,2020Q2,age,
2020-07-01,persons,overall,1762.7,2020,3,2020Q3,age,
2020-10-01,persons,overall,1886.8,2020,4,2020Q4,age,
2021-01-01,persons,overall,1899.9,2021,1,2021Q1,age,
2021-04-01,persons,overall,1852.5,2021,2,2021Q2,age,
2021-07-01,persons,overall,1873.8,2021,3,2021Q3,age,
2021-10-01,persons,overall,1838.3,2021,4,2021Q4,age,
2022-01-01,persons,overall,1810.1,2022,1,2022Q1,age,
2022-04-01,persons,overall,1799.6,2022,2,2022Q2,age,
2022-07-01,persons,overall,1839.6,2022,3,2022Q3,age,
2022-10-01,persons,overall,1891.4,2022,4,2022Q4,age,
2023-01-01,persons,overall,1907.2,2023,1,2023Q1,age,
2023-04-01,persons,overall,1914.6,2023,2,2023Q2,age,
2023-07-01,persons,overall,1922.7,2023,3,2023Q3,age,
2023-10-01,persons,overall,1937.1,2023,4,2023Q4,age,
2024-01-01,persons,overall,1920.8,2024,1,2024Q1,age,
2024-04-01,persons,overall,1923.1,2024,2,2024Q2,age,
2024-07-01,persons,overall,1942.4,2024,3,2024Q3,age,
2024-10-01,persons,overall,1946.3,2024,4,2024Q4,age,
2025-01-01,persons,overall,1953.7,2025,1,2025Q1,age,
2025-04-01,persons,overall,1955.6,2025,2,2025Q2,age,
2025-07-01,persons,overall,1961.5,2025,3,2025Q3,age,
2017-01-01,persons,15-24,280.8,2017,1,2017Q1,age,
2017-04-01,persons,15-24,317.9,2017,2,2017Q2,age,
2017-07-01,persons,15-24,306.1,2017,3,2017Q3,age,
2017-10-01,persons,15-24,303.2,2017,4,2017Q4,age,
2018-01-01,persons,15-24,279.2,2018,1,2018Q1,age,
2018-04-01,persons,15-24,314.5,2018,2,2018Q2,age,
2018-07-01,persons,15-24,351.3,2018,3,2018Q3,age,
2018-10-01,persons,15-24,337.2,2018,4,2018Q4,age,
2019-01-01,persons,15-24,329.5,2019,1,2019Q1,age,
2019-04-01,persons,15-24,338.6,2019,2,2019Q2,age,
2019-07-01,persons,15-24,393.5,2019,3,2019Q3,age,
2019-10-01,persons,15-24,348.4,2019,4,2019Q4,age,
2020-01-01,persons,15-24,338.3,2020,1,2020Q1,age,
2020-04-01,persons,15-24,393.7,2020,2,2020Q2,age,
2020-07-01,persons,15-24,405.1,2020,3,2020Q3,age,
2020-10-01,persons,15-24,353.5,2020,4,2020Q4,age,
2021-01-01,persons,15-24,437.2,2021,1,2021Q1,age,
2021-04-01,persons,15-24,336.9,2021,2,2021Q2,age,
2021-07-01,persons,15-24,426.8,2021,3,2021Q3,age,
2021-10-01,persons,15-24,309.0,2021,4,2021Q4,age,
2022-01-01,persons,15-24,364.9,2022,1,2022Q1,age,
2022-04-01,persons,15-24,356.3,2022,2,2022Q2,age,
2022-07-01,persons,15-24,344.1,2022,3,2022Q3,age,
2022-10-01,persons,15-24,326.3,2022,4,2022Q4,age,
2023-01-01,persons,15-24,373.9,2023,1,2023Q1,age,
2023-04-01,persons,15-24,421.3,2023,2,2023Q2,age,
2023-07-01,persons,15-24,425.5,2023,3,2023Q3,age,
2023-10-01,persons,15-24,400.2,2023,4,2023Q4,age,
2024-01-01,persons,15-24,352.6,2024,1,2024Q1,age,
2024-04-01,persons,15-24,401.5,2024,2,2024Q2,age,
2024-07-01,persons,15-24,390.7,2024,3,2024Q3,age,
2024-10-01,persons,15-24,373.2,2024,4,2024Q4,age,
2025-01-01,persons,15-24,393.5,2025,1,2025Q1,age,
2025-04-01,persons,15-24,432.1,2025,2,2025Q2,age,
2025-07-01,persons,15-24,466.5,2025,3,2025Q3,age,
2017-01-01,persons,25-34,569.0,2017,1,2017Q1,age,
2017-04-01,persons,25-34,587.7,2017,2,2017Q2,age,
2017-07-01,persons,25-34,632.6,2017,3,2017Q3,age,
2017-10-01,persons,25-34,631.8,2017,4,2017Q4,age,
2018-01-01,persons,25-34,629.2,2018,1,2018Q1,age,
2018-04-01,persons,25-34,687.4,2018,2,2018Q2,age,
2018-07-01,persons,25-34,683.3,2018,3,2018Q3,age,
2018-10-01,persons,25-34,679.1,2018,4,2018Q4,age,
2019-01-01,persons,25-34,696.4,2019,1,2019Q1,age,
2019-04-01,persons,25-34,666.0,2019,2,2019Q2,age,
2019-07-01,persons,25-34,705.8,2019,3,2019Q3,age,
