FieldofStudy,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,WP Kuala Lumpur,WP Putrajaya,Wilayah Persekutuan Labuan
"Agriculture, forestry, fisheries and veterinary",38.88888888888889,44.44444444444444,42.857142857142854,42.857142857142854,0.0,50.0,88.88888888888889,100.0,33.33333333333333,33.33333333333333,70.0,32.0,40.0,0.0,,
Arts & humanities,44.927536231884055,59.25925925925925,31.25,40.0,45.45454545454545,23.809523809523807,43.333333333333336,57.14285714285714,50.0,11.11111111111111,42.857142857142854,38.88888888888889,71.42857142857143,55.26315789473685,60.0,0.0
"Business, administration and law",34.862385321100916,29.72972972972973,22.22222222222222,17.647058823529413,23.076923076923077,28.205128205128204,21.311475409836063,20.0,25.0,29.629629629629626,29.268292682926827,20.401337792642142,43.75,14.516129032258066,53.84615384615385,66.66666666666666
Education,26.53061224489796,20.0,14.285714285714285,27.27272727272727,0.0,8.333333333333332,13.793103448275861,25.0,23.809523809523807,33.33333333333333,10.0,25.0,20.0,29.629629629629626,0.0,0.0
"Engineering, manufacturing and construction",30.32258064516129,36.17021276595745,33.33333333333333,22.916666666666664,29.78723404255319,42.30769230769231,36.666666666666664,41.66666666666667,21.238938053097346,21.73913043478261,27.77777777777778,22.258064516129032,40.74074074074074,17.82178217821782,37.5,0.0
General programmes,100.0,0.0,50.0,100.0,50.0,,,0.0,50.0,,,25.0,,0.0,,
Health and welfare,38.775510204081634,36.36363636363637,44.44444444444444,25.0,31.25,22.22222222222222,15.151515151515152,33.33333333333333,16.129032258064516,11.76470588235294,8.333333333333332,21.59090909090909,23.076923076923077,15.09433962264151,66.66666666666666,
Information and communication technologies,25.806451612903224,36.36363636363637,0.0,18.181818181818183,14.285714285714285,25.0,23.52941176470588,50.0,21.428571428571427,16.666666666666664,75.0,7.377049180327869,50.0,8.0,25.0,0.0
"Natural sciences, mathematics and statistics",42.45283018867924,43.333333333333336,57.49999999999999,31.818181818181817,31.25,50.0,31.03448275862069,50.0,22.857142857142858,53.84615384615385,40.909090909090914,25.742574257425744,37.5,29.09090909090909,14.285714285714285,0.0
Services,55.172413793103445,26.666666666666668,0.0,71.42857142857143,41.66666666666667,40.0,54.166666666666664,80.0,28.57142857142857,28.57142857142857,50.0,45.28301886792453,0.0,21.21212121212121,0.0,0.0
"Social sci, journalism &",48.148148148148145,41.66666666666667,30.0,25.0,54.54545454545454,16.666666666666664,12.5,50.0,35.714285714285715,50.0,42.857142857142854,26.865671641791046,50.0,17.94871794871795,28.57142857142857,
