FieldofStudy,Total_Graduates,Underemployed_Count,Underemployment_Rate
General programmes,21,11,52.38095238095239
Arts & humanities,412,179,43.44660194174757
"Agriculture, forestry, fisheries and veterinary",127,52,40.94488188976378
Services,248,101,40.725806451612904
"Natural sciences, mathematics and statistics",628,216,34.394904458598724
"Social sci, journalism &",239,78,32.63598326359833
"Engineering, manufacturing and construction",1110,299,26.936936936936938
"Business, administration and law",965,232,24.041450777202073
Health and welfare,399,95,23.809523809523807
Education,316,66,20.88607594936709
Information and communication technologies,328,56,17.073170731707318
