placeofresidence,Total_Graduates,Underemployed_Count,Underemployment_Rate
Perlis,60,28,46.666666666666664
Terengganu,101,41,40.5940594059406
Johor,652,246,37.73006134969325
WP Putrajaya,62,23,37.096774193548384
Kedah,279,103,36.91756272401434
Kelantan,187,66,35.294117647058826
Sarawak,179,61,34.07821229050279
Pahang,183,60,32.78688524590164
Perak,301,92,30.564784053156146
Melaka,200,60,30.0
Sabah,127,36,28.346456692913385
Negeri Sembilan,198,56,28.28282828282828
Pulau Pinang,379,95,25.065963060686013
Selangor,1341,320,23.862788963460105
WP Kuala Lumpur,527,108,20.49335863377609
Wilayah Persekutuan Labuan,10,2,20.0
