RespondentID,Sex,age,age_group,max_educert,qualification_tier,currentempstatus,occupation_cj,is_underemployed
114347756900.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114358773286.0,Female,25.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114371455059.0,Male,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114347713217.0,Female,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114371466548.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114371455095.0,Female,25.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114358709462.0,Male,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371489571.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working part-time (contract),Technician and Associate Professionals,0
114374126954.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371438635.0,Female,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371420888.0,Male,32.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371510166.0,Female,25.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371478664.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working part-time (contract),Clerical Support Workers,1
114371425645.0,Male,23.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Craft and Related Trades Workers,1
114371447775.0,Male,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114369685524.0,Female,35.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371674234.0,Male,23.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371478008.0,Male,32.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371435848.0,Female,30.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Elementary Occupations,1
114371443747.0,Female,31.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371538024.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371439275.0,Female,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114347745795.0,Male,31.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371459340.0,Female,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Technician and Associate Professionals,0
114371473219.0,Male,24.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114369624381.0,Male,35.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371428484.0,Male,27.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371443300.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371524452.0,Male,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114378157685.0,Female,34.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371498319.0,Female,30.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114349493610.0,Female,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114349049444.0,Male,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371330615.0,Female,35.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371453140.0,Male,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114347709470.0,Female,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371444780.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371408384.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working part-time (permanent),Craft and Related Trades Workers,1
114371434103.0,Female,33.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Craft and Related Trades Workers,1
114359492355.0,Male,38.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Elementary Occupations,1
114371458119.0,Female,25.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371451112.0,Female,28.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371489649.0,Male,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Professional,0
114371409387.0,Male,43.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Managers,0
114371460827.0,Female,32.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Craft and Related Trades Workers,1
114371528153.0,Female,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working part-time (permanent),Professional,0
114371442382.0,Male,37.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371469756.0,Male,25.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371469704.0,Female,29.0,27-31,Diploma/ certificates or equivalent,Diploma,Working part-time (contract),Managers,0
114371474504.0,Male,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Service and Sales Workers,1
114371351832.0,Female,25.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114373124078.0,Male,25.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114369572901.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371511970.0,Male,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114367379064.0,Female,30.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371455217.0,Male,25.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371919085.0,Male,23.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114348512147.0,Male,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114371454449.0,Female,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371458330.0,Female,34.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371435280.0,Female,23.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Clerical Support Workers,1
114362433695.0,Male,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371413470.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371476587.0,Female,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371476515.0,Male,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114371462443.0,Male,26.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114347773694.0,Female,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371453367.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114376525135.0,Female,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Clerical Support Workers,1
114371453214.0,Male,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),"Skilled Agriculture, Forestry, Livestock and Fishery Workers",1
114371422620.0,Female,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working part-time (contract),Managers,0
114347737732.0,Male,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114326260216.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371529388.0,Male,30.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114371525056.0,Male,24.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114369749119.0,Male,34.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371478717.0,Female,23.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Plant and Machine Operators and Assemblers,1
114346320006.0,Male,32.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371291938.0,Female,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114347702094.0,Male,30.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114347747577.0,Male,28.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Plant and Machine Operators and Assemblers,1
114369803428.0,Male,33.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371397521.0,Male,35.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Plant and Machine Operators and Assemblers,1
114370429509.0,Female,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371492410.0,Female,34.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371466215.0,Female,31.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371397083.0,Male,26.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Professional,0
114348495365.0,Male,35.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371462763.0,Female,39.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114373029075.0,Male,27.0,27-31,Diploma/ certificates or equivalent,Diploma,Working part-time (permanent),Professional,0
114371307614.0,Female,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114369676588.0,Male,33.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114347713627.0,Female,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114371635420.0,Female,24.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371378868.0,Male,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371470679.0,Male,24.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371466236.0,Male,23.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114360625341.0,Male,28.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114371432889.0,Female,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working part-time (permanent),Managers,0
